0.27265192044480563 (60.0, 40.0)
0.21804265244697235 (60.0, 40.0)
0.5562746645454022 (48.0, 43.86342439892262)
0.458428819750362 (26.0, 48.28043081829325)
0.5108430325535394 (82.8492607088319, -28.0)
0.2634158999029158 (62.0, 39.23009049186606)
0.1647584715653899 (50.0, 43.30127018922193)
0.5902133444497967 (64.0, 38.4187454245971)
0.2896769156981154 (64.0, 38.4187454245971)
0.4513152266458988 (64.0, 38.4187454245971)
0.0448744029447667 (64.99230723708769, 38.0)
0.40548038634210826 (66.0, 37.5632799419859)
0.33464733444165434 (54.0, 42.08325082500162)
0.22443922211841955 (76.0, -32.49615361854384)
0.3104683939695696 (76.0, -32.49615361854384)
0.21360857172885028 (68.0, 36.66060555964671)
0.3601781823524515 (76.8374908491942, -32.0)
0.37976498291466176 (78.0, -31.28897569432403)
0.5835641992519941 (58.0, 40.7308237088326)
0.20035192742269423 (70.0, 35.70714214271425)
0.5402778765295863 (96.0, -14.000000000000002)
0.5979003118660839 (80.0, -29.999999999999993)
0.4259559069060741 (72.0, 34.698703145794944)
0.4726065054957887 (72.0, 34.698703145794944)
0.25814826491227744 (62.0, 39.23009049186606)
0.5022238931059941 (73.32121111929342, 34.0)
0.5751391915249889 (68.0, 36.66060555964671)
0.33392853347871326 (74.0, 33.63034344160047)
0.49534591475491335 (82.8492607088319, -28.0)
0.5396573490339833 (82.8492607088319, -28.0)
0.3509782382803181 (84.0, -27.12931993250108)
0.3587604301584446 (84.0, -27.12931993250108)
0.466545850360714 (76.8374908491942, 32.0)
0.5965781724761897 (78.0, 31.28897569432403)
0.4065797199444365 (78.0, 31.28897569432403)
0.5133846838887228 (86.0, -25.51470164434615)
0.33474296471922477 (94.74175425861608, -16.0)
0.5986762408514485 (80.0, 29.999999999999993)
0.5060358242607017 (80.0, 29.999999999999993)
0.12748595772548857 (98.0, 9.94987437106621)
0.5176897108477232 (68.0, 36.66060555964671)
0.4933138443291504 (74.0, 33.63034344160047)
0.4182918881112379 (82.8492607088319, 28.0)
0.5054325765235816 (82.8492607088319, 28.0)
0.4144343895414071 (84.0, 27.12931993250108)
0.22543858827957944 (76.8374908491942, 32.0)
0.40448777320508295 (74.0, 33.63034344160047)
0.22104819309529122 (85.41662601625049, 26.0)
0.36323778304516924 (86.0, 25.51470164434615)
0.23777864216621722 (80.0, 29.999999999999993)
None
0.447915231983795 (88.0, 23.748684174075834)
0.36552670857539254 (82.0, 28.618176042508374)
0.5734212841679865 (82.0, 28.618176042508374)
0.4768579967904164 (94.74175425861608, -16.0)
0.5234020928323896 (94.74175425861608, -16.0)
0.25532009505809466 (88.0, 23.748684174075834)
0.5725699551941 (96.0, -14.000000000000002)
0.4623418077721979 (96.0, -14.000000000000002)
None
0.13882104725602945 (97.07728879609277, -12.0)
None
0.5305413463967977 (98.0, -9.94987437106621)
0.513263852407155 (98.0, -9.94987437106621)
0.582081278199638 (98.71170143402453, -8.0)
0.46018237160665937 (98.71170143402453, 7.999999999999993)
0.4405477934856583 (99.27738916792686, -6.0)
None
None
None
None
0.3669538198086445 (34.0, 47.02127178203499)
0.4806423261722249 (58.0, -40.7308237088326)
0.12214124748555753 (36.0, 46.647615158762406)
0.5278628904398778 (36.0, 46.647615158762406)
0.4413020954485992 (38.0, 46.24932431938871)
0.3051331579222378 (38.0, 46.24932431938871)
0.2822320892457241 (38.0, 46.24932431938871)
0.4938736587245622 (40.0, 45.8257569495584)
0.1480559927040513 (40.0, 45.8257569495584)
0.39993635000674066 (74.0, -33.63034344160047)
0.5942698086754734 (42.0, 45.37620521815371)
0.5892688256152453 (64.0, -38.4187454245971)
0.2686034926492717 (42.0, 45.37620521815371)
0.5318990623604939 (42.0, 45.37620521815371)
0.36180784278797634 (44.0, 44.8998886412873)
0.12141752291736459 (44.0, 44.8998886412873)
0.29507659542623377 (66.0, -37.5632799419859)
0.4743506184486418 (46.0, 44.39594576084623)
0.38359434860306296 (46.0, 44.39594576084623)
0.5147392979899014 (78.0, -31.28897569432403)
0.1530272662230398 (68.0, -36.66060555964671)
0.3750335365214645 (88.0, -23.748684174075834)
0.5685601264437232 (47.49736834815167, 44.0)
0.48710499712315397 (69.39740629158989, -36.0)
0.5907636564251129 (50.0, 43.30127018922193)
0.4457037982958774 (50.0, 43.30127018922193)
0.3664692427023495 (38.0, 46.24932431938871)
0.5670385630637464 (72.0, -34.698703145794944)
0.19819562585087583 (72.0, -34.698703145794944)
0.3577644457167908 (52.0, 42.708313008125245)
0.359858719117994 (82.8492607088319, -28.0)
0.40182284375024013 (54.0, 42.08325082500162)
0.29770545766804074 (54.0, 42.08325082500162)
0.4738923223134429 (84.0, -27.12931993250108)
0.4031614837373704 (30.0, 47.69696007084728)
0.12170381696842249 (56.0, 41.42463035441595)
0.41011178074673704 (85.41662601625049, -26.0)
0.5729329348252207 (58.0, 40.7308237088326)
0.33160981246890764 (76.8374908491942, -32.0)
0.49275422214425874 (58.0, 40.7308237088326)
0.4629225841643328 (48.0, 43.86342439892262)
0.26982896969206965 (60.0, 40.0)
0.2766260885624077 (42.0, 45.37620521815371)
0.5956410795784352 (88.0, -23.748684174075834)
0.5138440812055871 (50.0, 43.30127018922193)
0.42626801863169217 (62.0, 39.23009049186606)
0.5135168564052441 (52.0, 42.708313008125245)
0.5943835810408381 (64.0, 38.4187454245971)
0.5243651102942127 (64.0, 38.4187454245971)
0.3569043505479687 (82.0, -28.618176042508374)
0.5806108354483636 (58.0, 40.7308237088326)
0.3358585183806418 (56.0, 41.42463035441595)
0.4954110276696395 (66.0, 37.5632799419859)
0.41032907388724627 (54.0, 42.08325082500162)
0.4570875582558973 (68.0, 36.66060555964671)
0.5067699260076398 (84.0, -27.12931993250108)
0.4951263661751413 (60.0, 40.0)
0.1383789576330365 (85.41662601625049, -26.0)
0.47702664533052064 (70.0, 35.70714214271425)
0.48019875291688824 (86.0, -25.51470164434615)
0.5686216779454822 (94.74175425861608, -16.0)
0.4675747782071951 (94.74175425861608, -16.0)
0.3015658109043026 (87.72684879784524, -24.0)
0.10346712750830193 (73.32121111929342, 34.0)
0.3866027429953306 (74.0, 33.63034344160047)
0.43611736540864887 (98.0, 9.94987437106621)
0.515579859440831 (64.0, 38.4187454245971)
0.597725402279065 (76.0, 32.49615361854384)
0.5560477372910344 (76.0, 32.49615361854384)
0.2137835313215326 (70.0, 35.70714214271425)
0.21574079538064483 (68.0, 36.66060555964671)
0.4554074753054643 (91.6515138991168, -20.0)
0.558561468003135 (72.0, 34.698703145794944)
0.47068096476904225 (80.0, 29.999999999999993)
0.1305288293973617 (99.6794863550169, 4.0)
0.5494664659638262 (93.29523031752481, -18.0)
0.5217904738736578 (82.0, 28.618176042508374)
0.484652728288017 (82.0, 28.618176042508374)
0.26932282527490636 (99.27738916792686, -6.0)
0.49404843737284254 (80.0, 29.999999999999993)
0.38071712862501667 (84.0, 27.12931993250108)
0.5811483385752788 (84.0, 27.12931993250108)
0.18548055332597566 (86.0, 25.51470164434615)
0.5258646178387537 (86.0, 25.51470164434615)
0.5293002564657623 (84.0, 27.12931993250108)
0.5285172336602759 (97.07728879609277, -12.0)
0.5051103174510616 (97.07728879609277, -12.0)
0.44122442911904886 (99.91996797437437, 2.0)
0.2732396793271041 (98.0, -9.94987437106621)
0.5458299232576436 (90.0, 21.794494717703365)
0.5100174078926474 (98.71170143402453, -8.0)
0.28075489835015016 (92.0, 19.595917942265423)
0.5380327138286469 (99.27738916792686, -6.0)
0.5699468762792799 (94.0, 17.058722109231987)
0.46619301198987134 (99.6794863550169, -4.0)
None
0.48014045051491777 (99.91996797437437, -2.0)
None
None
None
None
None
0.30357922391341147 (26.0, 48.28043081829325)
0.3543113628754735 (26.0, 48.28043081829325)
0.5363938548235534 (28.0, 48.0)
0.12824287289468564 (28.0, 48.0)
0.4837563003023527 (15.999999999999986, 49.35585071701227)
0.2745463488320524 (30.0, 47.69696007084728)
0.34140852633777996 (64.0, -38.4187454245971)
0.5252115249587906 (30.0, 47.69696007084728)
0.28330551988747416 (6.0, 49.90991885387112)
0.26853702084155007 (32.0, 47.37087712930804)
0.19186453252319433 (66.0, -37.5632799419859)
0.48052380417384355 (34.0, 47.02127178203499)
0.5468477265095971 (34.0, 47.02127178203499)
0.5316904005611667 (36.0, 46.647615158762406)
0.5923124105232868 (36.0, 46.647615158762406)
0.5164781516116218 (24.0, 48.53864439804639)
0.5544663303730056 (26.0, 48.28043081829325)
0.3561059021291932 (69.39740629158989, -36.0)
0.5531613353000687 (38.0, 46.24932431938871)
0.5295949525359077 (40.0, 45.8257569495584)
0.18224263985283934 (40.0, 45.8257569495584)
0.23006556866973998 (22.0, 48.774993593028796)
0.3690741291458314 (42.0, 45.37620521815371)
0.4737783439236722 (72.0, -34.698703145794944)
0.30075843544753106 (73.32121111929342, -34.0)
0.5715573987092551 (74.0, -33.63034344160047)
0.41020451673015823 (44.0, 44.8998886412873)
0.2786635160038743 (84.0, -27.12931993250108)
0.2967988284196415 (46.0, 44.39594576084623)
0.5593442586466207 (76.0, -32.49615361854384)
0.5639381134974867 (48.0, 43.86342439892262)
0.5284304280301217 (76.0, -32.49615361854384)
0.04464910140445264 (76.8374908491942, -32.0)
0.5278568335019402 (39.191835884530846, 46.0)
0.43870923591365596 (50.0, 43.30127018922193)
0.5985112045948198 (50.0, 43.30127018922193)
0.4835629629503582 (52.0, 42.708313008125245)
0.20896942498769347 (52.0, 42.708313008125245)
0.33813610840197983 (80.0, -29.999999999999993)
0.28807301611680836 (80.0, -29.999999999999993)
0.4956762295570144 (40.0, 45.8257569495584)
0.5462763463248376 (54.25863986500216, 42.0)
0.47024567475342555 (56.0, 41.42463035441595)
0.5532375183832503 (56.0, 41.42463035441595)
0.1455457885908677 (48.0, 43.86342439892262)
0.38932149173220176 (58.0, 40.7308237088326)
0.5810350440897933 (91.6515138991168, -20.0)
0.292482209452667 (46.0, 44.39594576084623)
0.37318908055321076 (60.0, 40.0)
0.23927781612576185 (52.0, 42.708313008125245)
0.1465888871828552 (50.0, 43.30127018922193)
0.5329132102925265 (85.41662601625049, -26.0)
0.1867259515280948 (86.0, -25.51470164434615)
0.46646117971771367 (94.0, -17.058722109231987)
0.11631036715233002 (64.0, 38.4187454245971)
0.44203131835348713 (87.72684879784524, -24.0)
0.2130590608577134 (99.27738916792684, 6.000000000000007)
0.5099819540767301 (60.0, 40.0)
0.47436379716163984 (60.0, 40.0)
0.11930575795729907 (96.0, -14.000000000000002)
0.3409905469390819 (68.0, 36.66060555964671)
0.06621938241133071 (90.0, -21.794494717703365)
0.4945416054576517 (97.07728879609277, -12.0)
0.5098710256481571 (64.0, 38.4187454245971)
0.3796059209938569 (64.99230723708769, 38.0)
0.2893298421480382 (72.0, 34.698703145794944)
0.4825161068946369 (92.0, -19.595917942265423)
0.26232563622965993 (68.0, 36.66060555964671)
0.4502510696147148 (74.0, 33.63034344160047)
0.5031968179156835 (93.29523031752481, -18.0)
0.565604260540628 (93.29523031752481, -18.0)
0.4284329309118153 (94.0, -17.058722109231987)
0.5401477949792425 (76.8374908491942, 32.0)
0.39664922464630264 (78.0, 31.28897569432403)
0.31800619249091444 (98.0, 9.94987437106621)
0.49663363645013037 (76.0, 32.49615361854384)
0.4185276491477674 (80.0, 29.999999999999993)
0.40087674222884256 (96.0, -14.000000000000002)
0.22370539837203487 (92.0, 19.595917942265423)
None
0.29919718064566325 (97.07728879609277, -12.0)
0.2880455676062273 (99.91996797437437, 2.0)
0.4485383164426004 (98.0, -9.94987437106621)
0.5660318872118933 (98.0, -9.94987437106621)
0.5484768536574648 (86.0, 25.51470164434615)
0.36939325251186494 (98.71170143402453, -8.0)
0.18362904727313564 (88.0, 23.748684174075834)
0.4339839039561311 (99.27738916792686, -6.0)
0.34800068076005264 (90.0, 21.794494717703365)
0.4912956424604878 (99.6794863550169, -4.0)
0.5406654230715234 (92.0, 19.595917942265423)
