1.5278358305622504 (48.0, 43.86342439892262)
1.3788781077038053 (44.0, 44.8998886412873)
1.0605006779900519 (44.0, 44.8998886412873)
1.3058088901254534 (40.0, 45.8257569495584)
1.8140420936202328 (36.0, 46.647615158762406)
1.7920103165701406 (32.0, 47.37087712930804)
1.584234701554057 (32.0, 47.37087712930804)
None
1.0440618796557843 (24.0, 48.53864439804639)
1.0540118682006416 (24.0, 48.53864439804639)
1.6505952583860402 (20.0, 48.98979485566356)
1.2696097320491149 (15.999999999999986, 49.35585071701227)
1.4854115835804877 (15.999999999999986, 49.35585071701227)
0.5208251045934083 (12.000000000000014, 49.63869458396342)
1.4421117937484205 (12.000000000000014, 49.63869458396342)
0.5986521323479627 (8.0, 49.83974317750845)
1.521516372940028 (4.0, 49.95998398718719)
1.9422004441403509 (4.0, 49.95998398718719)
1.6489543832331592 (0.0, 50.0)
0.38763889417494035 (0.0, 50.0)
1.8788704256542352 (0.0, 50.0)
0.6419231309520893 (-4.0, 49.95998398718719)
1.145263124977793 (-4.0, 49.95998398718719)
1.6318347006022673 (-8.0, 49.83974317750845)
0.6287975217635943 (-8.0, 49.83974317750845)
None
1.7200406094475817 (-12.0, 49.63869458396343)
1.6048962056781064 (-12.0, 49.63869458396343)
1.2673463300263892 (-12.0, 49.63869458396343)
1.3797260871813941 (-12.0, 49.63869458396343)
1.7424876679627637 (-16.0, 49.35585071701227)
1.8453378098715192 (-16.0, 49.35585071701227)
1.1067681958323332 (-16.0, 49.35585071701227)
1.458006351147763 (-16.0, 49.35585071701227)
1.2026769827278436 (-16.0, 49.35585071701227)
None
None
1.23527533065469 (-20.0, 48.98979485566356)
1.9609769393301366 (-20.0, 48.98979485566356)
1.1622764182697478 (-20.0, 48.98979485566356)
0.6660790197436564 (-20.0, 48.98979485566356)
None
0.7953298924462081 (-20.0, 48.98979485566356)
1.1417471873838174 (-20.0, 48.98979485566356)
0.8069619287900526 (-20.0, 48.98979485566356)
1.0070595040272527 (-20.0, 48.98979485566356)
1.7078645222318538 (-20.0, 48.98979485566356)
0.5868098037623248 (-20.0, 48.98979485566356)
1.943562538975182 (-20.0, 48.98979485566356)
1.6941774884998222 (-20.0, 48.98979485566356)
0.4596914849627559 (-20.0, 48.98979485566356)
1.884260222076596 (-20.0, 48.98979485566356)
1.3628740673790927 (-20.0, 48.98979485566356)
0.42697292990124647 (-20.0, 48.98979485566356)
None
0.8756599413268074 (-20.0, 48.98979485566356)
0.8695555289487968 (-20.0, 48.98979485566356)
0.5992971716942983 (-20.0, 48.98979485566356)
0.5342433248553327 (-20.0, 48.98979485566356)
1.5472491670036528 (-20.0, 48.98979485566356)
1.5024698723541645 (-20.0, 48.98979485566356)
0.9369584915487338 (-20.0, 48.98979485566356)
1.5441646496728172 (-20.0, 48.98979485566356)
1.2389138853073587 (-20.0, 48.98979485566356)
1.6831263704385693 (-20.0, 48.98979485566356)
1.9805137362132152 (-20.0, 48.98979485566356)
1.4755499445820373 (-20.0, 48.98979485566356)
1.3631829574455256 (-16.0, 49.35585071701227)
1.7535745793883273 (-20.0, 48.98979485566356)
1.8831227050850232 (-20.0, 48.98979485566356)
1.8696434474887451 (-16.0, 49.35585071701227)
1.9221918008162673 (-20.0, 48.98979485566356)
1.6897828864161972 (-16.0, 49.35585071701227)
1.0333100291436095 (-16.0, 49.35585071701227)
1.1547257550511896 (-16.0, 49.35585071701227)
1.682995888490525 (-16.0, 49.35585071701227)
0.8790771245114991 (-16.0, 49.35585071701227)
1.4403025287046427 (-16.0, 49.35585071701227)
1.0170164384054325 (-16.0, 49.35585071701227)
1.6182398825556097 (-16.0, 49.35585071701227)
1.4179614623754113 (-16.0, 49.35585071701227)
1.1725841966371995 (-16.0, 49.35585071701227)
1.9039714931812937 (-16.0, 49.35585071701227)
1.9025099500680744 (-20.0, 48.98979485566356)
1.9854607563581328 (-16.0, 49.35585071701227)
1.7501907313856884 (-20.0, 48.98979485566356)
1.394334424765825 (-16.0, 49.35585071701227)
1.7832448795123537 (-20.0, 48.98979485566356)
1.5128133639479224 (-20.0, 48.98979485566356)
1.9989859535826187 (-20.0, 48.98979485566356)
1.155111390797373 (48.0, 43.86342439892262)
1.7300846838348416 (44.0, 44.8998886412873)
0.06266381692986696 (44.0, 44.8998886412873)
0.6078131168604739 (40.0, 45.8257569495584)
1.2766772475261488 (36.0, 46.647615158762406)
0.617806228497902 (36.0, 46.647615158762406)
0.6052801493866354 (32.0, 47.37087712930804)
1.3406723557453726 (28.0, 48.0)
1.8152446650245524 (24.0, 48.53864439804639)
1.2942201925508054 (24.0, 48.53864439804639)
None
1.8395390574104613 (20.0, 48.98979485566356)
None
1.4370773221627668 (12.000000000000014, 49.63869458396342)
1.9727863066706437 (12.000000000000014, 49.63869458396342)
0.62841051399522 (8.0, 49.83974317750845)
1.4780714023973194 (8.0, 49.83974317750845)
1.185935038938089 (4.0, 49.95998398718719)
1.0435078689679687 (4.0, 49.95998398718719)
